DATE,Price,Open,High ,Low,Volume,Change %
05-Nov-19,9310.80,9396.10,9452.70,9193.90,653.42K,-0.91%
06-Nov-19,9338.90,9311.20,9424.60,9262.70,578.03K,0.30%
07-Nov-19,9223.50,9339.20,9367.00,9130.00,603.54K,-1.24%
08-Nov-19,8778.20,9223.60,9254.80,8722.40,791.79K,-4.83%
09-Nov-19,8804.50,8778.10,8877.50,8746.90,512.02K,0.30%
10-Nov-19,9036.80,8804.70,9092.90,8763.50,581.57K,2.64%
11-Nov-19,8736.90,9036.90,9066.40,8649.40,601.16K,-3.32%
12-Nov-19,8812.60,8737.40,8841.20,8615.70,575.16K,0.87%
13-Nov-19,8783.10,8813.20,8829.70,8721.10,454.33K,-0.33%
14-Nov-19,8661.20,8782.90,8799.80,8615.80,515.43K,-1.39%
15-Nov-19,8476.30,8660.80,8761.80,8437.10,653.71K,-2.13%
16-Nov-19,8497.30,8476.20,8532.80,8450.70,471.16K,0.25%
17-Nov-19,8509.80,8497.40,8631.70,8413.00,531.22K,0.15%
18-Nov-19,8208.40,8510.30,8516.30,8110.40,692.60K,-3.54%
19-Nov-19,8145.70,8207.70,8245.60,8032.80,654.27K,-0.76%
20-Nov-19,8099.30,8145.70,8223.00,8074.20,607.27K,-0.57%
21-Nov-19,7627.90,8099.40,8129.60,7519.70,891.50K,-5.82%
22-Nov-19,7272.50,7627.90,7700.90,6818.50,1.41M,-4.66%
23-Nov-19,7324.10,7271.60,7342.50,7093.70,783.18K,0.71%
24-Nov-19,6924.70,7325.00,7344.10,6894.90,904.50K,-5.45%
25-Nov-19,7115.60,6924.70,7352.80,6534.80,1.29M,2.76%
26-Nov-19,7162.80,7115.50,7329.50,7045.10,844.27K,0.66%
27-Nov-19,7510.60,7162.80,7636.90,6875.40,996.49K,4.86%
28-Nov-19,7426.70,7510.60,7639.50,7380.60,737.58K,-1.12%
29-Nov-19,7742.70,7426.60,7825.30,7412.30,766.71K,4.26%
30-Nov-19,7546.60,7742.70,7787.70,7472.70,650.60K,-2.53%
01-Dec-19,7396.40,7546.50,7546.50,7244.40,777.00K,-1.99%
02-Dec-19,7298.20,7395.90,7433.80,7173.60,687.78K,-1.33%
03-Dec-19,7291.80,7298.10,7389.40,7227.10,548.77K,-0.09%
04-Dec-19,7204.40,7291.90,7702.20,7113.60,971.75K,-1.20%
05-Dec-19,7399.20,7204.60,7476.30,7184.00,780.78K,2.70%
06-Dec-19,7530.80,7399.20,7552.10,7329.80,706.10K,1.78%
07-Dec-19,7510.90,7530.40,7595.70,7489.60,557.14K,-0.26%
08-Dec-19,7524.40,7510.80,7576.40,7416.70,499.04K,0.18%
09-Dec-19,7355.80,7524.80,7626.00,7321.60,648.66K,-2.24%
10-Dec-19,7235.70,7356.20,7400.30,7192.10,609.50K,-1.63%
11-Dec-19,7208.00,7235.80,7284.40,7168.80,518.40K,-0.38%
12-Dec-19,7208.00,7208.00,7272.40,7124.60,611.80K,0.00%
13-Dec-19,7255.20,7208.40,7288.00,7200.30,503.49K,0.65%
14-Dec-19,7080.80,7255.20,7267.40,7043.30,524.56K,-2.40%
15-Dec-19,7128.50,7080.80,7175.80,7033.80,492.58K,0.67%
16-Dec-19,6903.50,7128.50,7153.10,6864.60,689.56K,-3.16%
17-Dec-19,6613.30,6903.50,6943.50,6575.00,894.55K,-4.20%
18-Dec-19,7276.00,6613.50,7387.70,6462.20,1.14M,10.02%
19-Dec-19,7165.50,7276.40,7354.00,7039.30,778.72K,-1.52%
20-Dec-19,7196.40,7165.50,7218.40,7107.70,627.04K,0.43%
21-Dec-19,7156.20,7196.40,7197.60,7129.60,468.74K,-0.56%
22-Dec-19,7495.80,7156.30,7501.10,7142.00,677.94K,4.74%
23-Dec-19,7322.80,7496.20,7684.00,7276.20,952.16K,-2.31%
24-Dec-19,7268.30,7322.40,7433.20,7185.70,785.54K,-0.74%
25-Dec-19,7224.80,7268.30,7542.40,7150.90,625.41K,-0.60%
26-Dec-19,7210.90,7225.00,7414.30,7177.30,795.09K,-0.19%
27-Dec-19,7261.70,7210.80,7293.80,7128.50,718.07K,0.70%
28-Dec-19,7321.50,7261.90,7375.90,7256.50,610.96K,0.82%
29-Dec-19,7397.50,7321.60,7518.90,7303.00,611.69K,1.04%
30-Dec-19,7261.80,7397.50,7420.90,7244.10,606.11K,-1.84%
31-Dec-19,7196.40,7261.50,7331.00,7167.40,586.60K,-0.90%
01-Jan-20,7199.80,7196.40,7259.40,7180.00,420.28K,0.05%
02-Jan-20,6967.00,7199.70,7209.60,6901.40,632.78K,-3.23%
03-Jan-20,7343.10,6967.10,7402.90,6884.10,936.29K,5.40%
04-Jan-20,7376.80,7345.10,7433.10,7291.40,523.91K,0.46%
05-Jan-20,7372.50,7376.80,7501.00,7345.60,628.14K,-0.06%
06-Jan-20,7759.10,7372.60,7783.10,7366.70,786.75K,5.24%
07-Jan-20,8155.70,7759.10,8182.00,7754.10,1.01M,5.11%
08-Jan-20,8059.60,8154.20,8436.40,7900.80,1.19M,-1.18%
09-Jan-20,7842.40,8060.00,8065.90,7779.20,786.50K,-2.70%
10-Jan-20,8187.10,7842.50,8187.40,7697.70,1.05M,4.40%
11-Jan-20,8024.10,8187.80,8262.90,8008.40,776.75K,-1.99%
12-Jan-20,8187.60,8023.30,8189.90,7973.10,595.22K,2.04%
13-Jan-20,8111.40,8188.30,8196.70,8068.40,610.66K,-0.93%
14-Jan-20,8829.20,8111.20,8898.70,8111.20,1.48M,8.85%
15-Jan-20,8818.30,8827.90,8904.00,8615.50,1.17M,-0.12%
16-Jan-20,8726.90,8818.10,8850.00,8605.80,748.32K,-1.04%
17-Jan-20,8913.10,8726.70,9005.10,8675.90,794.11K,2.13%
18-Jan-20,8916.30,8913.00,8982.30,8814.60,627.74K,0.04%
19-Jan-20,8706.20,8916.30,9183.70,8552.80,975.01K,-2.36%
20-Jan-20,8641.90,8705.70,8740.10,8539.20,599.06K,-0.74%
21-Jan-20,8732.60,8642.00,8770.30,8524.00,540.20K,1.05%
